,Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total
212,2020,3,Santa Fe,5680,1241,213353,199381,92095,58797,210562,27001.0,802998
213,2020,3,Santiago Del Estero,1330,9090,33287,57418,4658,2920,3994,4801.0,105492
214,2020,3,Tierra Del Fuego,110,0,22094,5414,3726,4810,937,6992.0,39655
215,2020,3,Tucumán,520,970,45913,5461,33126,3246,84195,2637.0,223876
216,2020,2,Buenos Aires,37542,31606,1129236,241336,233132,188995,1894466,21233.0,3777546
217,2020,2,Buenos Aires,2640,3120,166474,94585,79858,8016,935481,6870.0,1357821
218,2020,2,Catamarca,630,0,8801,869,10242,4260,16578,3176.0,47976
219,2020,2,Chaco,3080,9280,24350,2114,29044,12082,33311,6969.0,128132
220,2020,2,Chubut,1580,1090,69578,22188,10537,1473,614,3999.0,108656
221,2020,2,Córdoba,1680,4383,219025,125932,8953,63216,325243,8971.0,836468
222,2020,2,Corrientes,720,5270,34242,22845,25844,7898,22418,502.0,118866
223,2020,2,Entre Ríos,1300,3679,66758,5064,4209,12856,43391,14569.0,234113
224,2020,2,Formosa,3910,1510,23534,7109,6998,9610,7475,1313.0,47932
225,2020,2,Jujuy,550,1820,30548,10519,26829,2090,9417,16557.0,94316
226,2020,2,La Pampa,2930,8100,71218,7531,38,1657,3377,1123.0,89809
227,2020,2,La Rioja,210,10,37375,5661,4686,730,4336,20.0,52155
228,2020,2,Mendoza,580,400,142253,12439,35274,3248,5422,245.0,201184
229,2020,2,Misiones,710,5240,39867,23719,26445,12305,28763,8646.0,140340
230,2020,2,Neuquén,2180,3270,61171,6103,6625,5296,46432,0.0,126172
231,2020,2,Río Negro,1140,4660,70817,3335,7498,3246,26953,17057.0,129486
232,2020,2,Salta,1290,5140,41801,64463,16989,7741,39594,6531.0,177762
233,2020,2,San Juan,480,1940,59113,9170,4908,400,127,443.0,69777
234,2020,2,San Luis,1050,0,11439,3585,1934,60889,8,35992.0,113952
235,2020,2,Santa Cruz,660,0,26938,4166,6541,5460,119,4930.0,38869
236,2020,2,Santa Fe,5680,2061,213054,198772,96575,57236,189473,20193.0,777932
237,2020,2,Santiago Del Estero,1330,1779,32557,57709,5178,2470,3328,4516.0,105447
238,2020,2,Tierra Del Fuego,110,0,22325,5186,3034,3910,796,7446.0,39189
239,2020,2,Tucumán,520,970,49028,54537,34184,2246,74377,2635.0,217156
240,2020,1,Buenos Aires,38215,36802,1122034,236421,247977,20578,1802583,28935.0,3718747
241,2020,1,Buenos Aires,2640,3120,169651,102254,89665,85899,906009,0.0,1354054
242,2020,1,Catamarca,630,0,8838,7543,9558,4080,10299,2151.0,38860
243,2020,1,Chaco,3080,9280,23291,19976,29851,10416,28539,6917.0,120226
244,2020,1,Chubut,1580,1090,69586,12957,7756,124,614,45.0,96920
245,2020,1,Córdoba,1420,5128,217229,120188,95827,65733,296875,9802.0,810924
246,2020,1,Corrientes,720,5270,33479,21382,26679,7351,19467,478.0,113737
247,2020,1,Entre Ríos,1300,4081,72280,47132,41125,11988,39794,13762.0,230292
248,2020,1,Formosa,1127,3420,23761,65,6564,9640,6918,1000.0,46276
249,2020,1,Jujuy,550,1820,33120,9979,26693,1660,7349,16545.0,94089
250,2020,1,La Pampa,2930,8110,72740,7199,3029,1342,2113,1618.0,89145
251,2020,1,La Rioja,210,10,37209,5158,464,220,1294,0.0,48345
252,2020,1,Mendoza,580,400,140410,12285,17489,286,3818,0.0,176960
253,2020,1,Misiones,710,5240,36622,21271,26433,11581,26313,10885.0,133700
254,2020,1,Neuquén,2180,3270,60152,5257,7123,5399,43738,0.0,122214
255,2020,1,Río Negro,1140,4660,69154,293,7857,3199,25488,17719.0,126927
256,2020,1,Salta,1290,5140,38537,63714,17991,8625,34744,6441.0,170695
257,2020,1,San Juan,480,1940,59787,1594,1292,400,127,4779.0,67861
258,2020,1,San Luis,1050,0,11322,4164,5250,58258,5,36075.0,110454
259,2020,1,Santa Cruz,670,110,27447,4993,5169,5290,119,0.0,38335
260,2020,1,Santa Fe,6960,2994,217553,196826,10456,48448,173823,17656.0,762556
261,2020,1,Santiago Del Estero,1330,1779,33086,56884,3737,1350,2799,4501.0,103054
262,2020,1,Tierra Del Fuego,110,10,22976,5024,1834,1960,518,7046.0,37606
263,2020,1,Tucumán,520,970,49555,50383,31096,173,67536,0.0,200449
264,2019,4,Buenos Aires,33489,27537,1177446,262297,247106,45257,1465133,20676.0,3686254
265,2019,4,Buenos Aires,3070,150,177098,110218,110852,20581,753805,0.0,1358105
266,2019,4,Catamarca,630,0,9945,7619,9305,8040,7477,3098.0,38311
267,2019,4,Chaco,830,0,25899,18959,30902,13516,21556,6988.0,117903
268,2019,4,Chubut,1580,40,69405,12945,7615,124,614,4121.0,96102
269,2019,4,Córdoba,1420,0,232781,118232,10933,114111,221742,1035.0,806688
270,2019,4,Corrientes,720,0,35055,2062,27367,9981,15744,4995.0,113834
271,2019,4,Entre Ríos,470,0,88203,44511,42962,18976,30153,14178.0,239030
272,2019,4,Formosa,1127,1910,24606,6319,6788,1766,5671,2430.0,46711
273,2019,4,Jujuy,550,0,32920,9632,26764,1020,5286,14122.0,88881
274,2019,4,La Pampa,2930,3130,76747,69,1951,1287,1342,1566.0,90399
275,2019,4,La Rioja,210,0,37846,5045,4763,220,1305,0.0,49002
276,2019,4,Mendoza,7460,90,145139,12955,15237,2165,2628,6901.0,185780
277,2019,4,Misiones,710,0,39664,2084,27305,15626,20799,11508.0,135813
278,2019,4,Neuquén,2180,10,57370,4439,7357,12059,35001,0.0,116445
279,2019,4,Río Negro,1140,0,71847,2797,8558,6968,19837,17019.0,127140
280,2019,4,Salta,1490,10,42159,67656,15369,1417,25821,712.0,172445
281,2019,4,San Juan,480,10,60626,1594,1292,400,127,1246.0,64974
282,2019,4,San Luis,1050,0,11901,4164,5250,55216,3,36287.0,108201
283,2019,4,Santa Cruz,670,0,32368,4346,2224,70,8,3500.0,39370
284,2019,4,Santa Fe,6980,0,230234,190664,113527,70998,135576,27472.0,769169
285,2019,4,Santiago Del Estero,1330,9080,34911,56309,3756,1050,2449,5017.0,103588
286,2019,4,Tierra Del Fuego,110,0,23593,505,1848,1390,1962,7789.0,40392
287,2019,4,Tucumán,550,0,54544,52017,28916,6405,56707,0.0,198644
288,2019,3,Buenos Aires,23892,44648,1432722,222812,260506,483572,1246209,42294.0,3971683
289,2019,3,Buenos Aires,1040,3680,269704,120924,138011,258591,655108,0.0,1442810
